"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3326","test_order_scooter_positive_flow[Order bottom button]","tests","Sun Sep 14 22:31:43 CEST 2025","passed","Sun Sep 14 22:31:46 CEST 2025","","test_order_flow","",""
"","115","test_faq_question[Question 5]","tests","Sun Sep 14 22:30:54 CEST 2025","passed","Sun Sep 14 22:30:54 CEST 2025","","test_faq","",""
"","113","test_faq_question[Question 7]","tests","Sun Sep 14 22:31:16 CEST 2025","passed","Sun Sep 14 22:31:16 CEST 2025","","test_faq","",""
"","120","test_faq_question[Question 1]","tests","Sun Sep 14 22:30:09 CEST 2025","passed","Sun Sep 14 22:30:09 CEST 2025","","test_faq","",""
"","120","test_faq_question[Question 6]","tests","Sun Sep 14 22:31:05 CEST 2025","passed","Sun Sep 14 22:31:05 CEST 2025","","test_faq","",""
"","119","test_faq_question[Question 3]","tests","Sun Sep 14 22:30:31 CEST 2025","passed","Sun Sep 14 22:30:31 CEST 2025","","test_faq","",""
"","3300","test_order_scooter_positive_flow[Order top button]","tests","Sun Sep 14 22:31:27 CEST 2025","passed","Sun Sep 14 22:31:31 CEST 2025","","test_order_flow","",""
"","116","test_faq_question[Question 2]","tests","Sun Sep 14 22:30:19 CEST 2025","passed","Sun Sep 14 22:30:19 CEST 2025","","test_faq","",""
"","121","test_faq_question[Question 4]","tests","Sun Sep 14 22:30:42 CEST 2025","passed","Sun Sep 14 22:30:42 CEST 2025","","test_faq","",""
"","114","test_faq_question[Question 0]","tests","Sun Sep 14 22:29:54 CEST 2025","passed","Sun Sep 14 22:29:54 CEST 2025","","test_faq","",""
